proteinID,geneID
NUD4B_HUMAN,NUDT4B
PIOS1_HUMAN,PIGBOS1
SIK1B_HUMAN,SIK1B
NBDY_HUMAN,NBDY
S12A8_HUMAN,SLC12A8
RBM47_HUMAN,RBM47
IFT56_HUMAN,TTC26
TM129_HUMAN,TMEM129
E2F8_HUMAN,E2F8
UBA6_HUMAN,UBA6
ESYT2_HUMAN,ESYT2
ESYT3_HUMAN,ESYT3
MED19_HUMAN,MED19
UH1BL_HUMAN,UHRF1BP1L
POTB3_HUMAN,POTEB3
SHOT1_HUMAN,SHTN1
SC5AA_HUMAN,SLC5A10
FEZF1_HUMAN,FEZF1
T120B_HUMAN,TMEM120B
CLRN2_HUMAN,CLRN2
RHG10_HUMAN,ARHGAP10
IRGM_HUMAN,IRGM
F170A_HUMAN,FAM170A
ANO9_HUMAN,ANO9
S22AN_HUMAN,SLC22A23
ODAM_HUMAN,ODAM
F168B_HUMAN,FAM168B
PXDNL_HUMAN,PXDNL
HACL2_HUMAN,ILVBL
U2QL1_HUMAN,UBE2QL1
PKHG3_HUMAN,PLEKHG3
ELOV7_HUMAN,ELOVL7
SRCRL_HUMAN,SSC5D
FSD2_HUMAN,FSD2
SPD2B_HUMAN,SH3PXD2B
CBAR1_HUMAN,CIBAR1
MACD2_HUMAN,MACROD2
ZC12D_HUMAN,ZC3H12D
FRMD3_HUMAN,FRMD3
CCD78_HUMAN,CCDC78
HFM1_HUMAN,HFM1
NBAS_HUMAN,NBAS
SYTC2_HUMAN,TARS3
TM218_HUMAN,TMEM218
TESP1_HUMAN,TESPA1
HYKK_HUMAN,HYKK
MEIOC_HUMAN,MEIOC
CCD66_HUMAN,CCDC66
TYW5_HUMAN,TYW5
MBPHL_HUMAN,MYBPHL
T131L_HUMAN,TMEM131L
VWA8_HUMAN,VWA8
LAMB4_HUMAN,LAMB4
ISPD_HUMAN,CRPPA
F221A_HUMAN,FAM221A
GSAP_HUMAN,GSAP
GTPBA_HUMAN,GTPBP10
WDR91_HUMAN,WDR91
PRS37_HUMAN,PRSS37
CC14C_HUMAN,CDC14C
MBLC1_HUMAN,MBLAC1
EME2_HUMAN,EME2
XIRP2_HUMAN,XIRP2
CL18A_HUMAN,CLEC18A
VP37C_HUMAN,VPS37C
ODAD3_HUMAN,ODAD3
CFA69_HUMAN,CFAP69
PSB11_HUMAN,PSMB11
PSD1_HUMAN,PSD
PDES1_HUMAN,PEDS1
TPC13_HUMAN,TRAPPC13
5HT3E_HUMAN,HTR3E
CNOT1_HUMAN,CNOT1
CRNS1_HUMAN,CARNS1
MEG11_HUMAN,MEGF11
BDP1_HUMAN,BDP1
F221B_HUMAN,FAM221B
CC88B_HUMAN,CCDC88B
NKX26_HUMAN,NKX2
JUNO_HUMAN,IZUMO1R
FA83G_HUMAN,FAM83G
PALM3_HUMAN,PALM3
RBY1B_HUMAN,RBMY1B
PGP_HUMAN,PGP
TMM8B_HUMAN,TMEM8B
RCCD1_HUMAN,RCCD1
GG6L9_HUMAN,GOLGA6L9
TIKI2_HUMAN,TRABD2B
TCAF2_HUMAN,TCAF2
MFS2B_HUMAN,MFSD2B
SDHF1_HUMAN,SDHAF1
PCARE_HUMAN,PCARE
OOEP_HUMAN,OOEP
SMHD1_HUMAN,SMCHD1
MSGN1_HUMAN,MSGN1
MYMK_HUMAN,MYMK
LIRA5_HUMAN,LILRA5
U119B_HUMAN,UNC119B
WTIP_HUMAN,WTIP
NKX63_HUMAN,NKX6
