Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A024RBG1	reviewed	NUD4B_HUMAN	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B, DIPP-2B, EC 3.6.1.52 (Nucleoside diphosphate-linked moiety X motif 4B, Nudix motif 4B) (Nudix hydrolase 4B)	NUDT4B	Homo sapiens (Human)	181
A0A0B4J2F0	reviewed	PIOS1_HUMAN	Protein PIGBOS1 (PIGB opposite strand protein 1)	PIGBOS1	Homo sapiens (Human)	54
A0A0B4J2F2	reviewed	SIK1B_HUMAN	Putative serine/threonine-protein kinase SIK1B, EC 2.7.11.1 (Salt-inducible kinase 1B)	SIK1B	Homo sapiens (Human)	783
A0A0U1RRE5	reviewed	NBDY_HUMAN	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)	NBDY LINC01420	Homo sapiens (Human)	68
A0AV02	reviewed	S12A8_HUMAN	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)	SLC12A8 CCC9	Homo sapiens (Human)	714
A0AV96	reviewed	RBM47_HUMAN	RNA-binding protein 47 (RNA-binding motif protein 47)	RBM47	Homo sapiens (Human)	593
A0AVF1	reviewed	IFT56_HUMAN	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26, TPR repeat protein 26)	TTC26 IFT56	Homo sapiens (Human)	554
A0AVI4	reviewed	TM129_HUMAN	E3 ubiquitin-protein ligase TM129, EC 2.3.2.27 (RING-type E3 ubiquitin transferase TM129)	TMEM129	Homo sapiens (Human)	362
A0AVK6	reviewed	E2F8_HUMAN	Transcription factor E2F8, E2F-8	E2F8	Homo sapiens (Human)	867
A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6, Ubiquitin-activating enzyme 6, EC 6.2.1.45 (Monocyte protein 4, MOP-4) (Ubiquitin-activating enzyme E1-like protein 2, E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	1052
A0FGR8	reviewed	ESYT2_HUMAN	Extended synaptotagmin-2, E-Syt2 (Chr2Syt)	ESYT2 FAM62B KIAA1228	Homo sapiens (Human)	921
A0FGR9	reviewed	ESYT3_HUMAN	Extended synaptotagmin-3, E-Syt3 (Chr3Syt)	ESYT3 FAM62C	Homo sapiens (Human)	886
A0JLT2	reviewed	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	MED19 LCMR1	Homo sapiens (Human)	244
A0JNW5	reviewed	UH1BL_HUMAN	UHRF1-binding protein 1-like (Syntaxin-6 Habc-interacting protein of 164 kDa)	UHRF1BP1L KIAA0701 SHIP164	Homo sapiens (Human)	1464
A0JP26	reviewed	POTB3_HUMAN	POTE ankyrin domain family member B3	POTEB3	Homo sapiens (Human)	581
A0MZ66	reviewed	SHOT1_HUMAN	Shootin-1 (Shootin1)	SHTN1 KIAA1598	Homo sapiens (Human)	631
A0PJK1	reviewed	SC5AA_HUMAN	Sodium/glucose cotransporter 5, Na(+)/glucose cotransporter 5 (Solute carrier family 5 member 10)	SLC5A10 SGLT5	Homo sapiens (Human)	596
A0PJY2	reviewed	FEZF1_HUMAN	Fez family zinc finger protein 1 (Zinc finger protein 312B)	FEZF1 FEZ ZNF312B	Homo sapiens (Human)	475
A0PK00	reviewed	T120B_HUMAN	Transmembrane protein 120B	TMEM120B	Homo sapiens (Human)	339
A0PK11	reviewed	CLRN2_HUMAN	Clarin-2	CLRN2	Homo sapiens (Human)	232
A1A4S6	reviewed	RHG10_HUMAN	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	Homo sapiens (Human)	786
A1A4Y4	reviewed	IRGM_HUMAN	Immunity-related GTPase family M protein, EC 3.6.5.- (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog, LRG-47)	IRGM IFI1 IRGM1 LRG47	Homo sapiens (Human)	181
A1A519	reviewed	F170A_HUMAN	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	FAM170A ZNFD	Homo sapiens (Human)	330
A1A5B4	reviewed	ANO9_HUMAN	Anoctamin-9 (Transmembrane protein 16J) (Tumor protein p53-inducible protein 5) (p53-induced gene 5 protein)	ANO9 PIG5 TMEM16J TP53I5	Homo sapiens (Human)	782
A1A5C7	reviewed	S22AN_HUMAN	Solute carrier family 22 member 23	SLC22A23 C6orf85	Homo sapiens (Human)	686
A1E959	reviewed	ODAM_HUMAN	Odontogenic ameloblast-associated protein (Apin)	ODAM APIN	Homo sapiens (Human)	279
A1KXE4	reviewed	F168B_HUMAN	Myelin-associated neurite-outgrowth inhibitor, Mani (p20)	FAM168B KIAA0280L MANI	Homo sapiens (Human)	195
A1KZ92	reviewed	PXDNL_HUMAN	Probable oxidoreductase PXDNL, EC 1.-.-.- (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1, PRM1) (Vascular peroxidase 2)	PXDNL VPO2	Homo sapiens (Human)	1463
A1L0T0	reviewed	HACL2_HUMAN	2-hydroxyacyl-CoA lyase 2, EC 4.1.2.- (Acetolactate synthase-like protein) (IlvB-like protein)	ILVBL AHAS HACL2	Homo sapiens (Human)	632
A1L167	reviewed	U2QL1_HUMAN	Ubiquitin-conjugating enzyme E2Q-like protein 1, EC 2.3.2.23 (E2Q-like ubiquitin-conjugating enzyme 1)	UBE2QL1	Homo sapiens (Human)	161
A1L390	reviewed	PKHG3_HUMAN	Pleckstrin homology domain-containing family G member 3, PH domain-containing family G member 3	PLEKHG3 KIAA0599	Homo sapiens (Human)	1219
A1L3X0	reviewed	ELOV7_HUMAN	Elongation of very long chain fatty acids protein 7, EC 2.3.1.199 (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7, ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	ELOVL7	Homo sapiens (Human)	281
A1L4H1	reviewed	SRCRL_HUMAN	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains, SSc5D)	SSC5D	Homo sapiens (Human)	1573
A1L4K1	reviewed	FSD2_HUMAN	Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)	FSD2 SPRYD1	Homo sapiens (Human)	749
A1X283	reviewed	SPD2B_HUMAN	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	SH3PXD2B FAD49 KIAA1295 TKS4	Homo sapiens (Human)	911
A1XBS5	reviewed	CBAR1_HUMAN	CBY1-interacting BAR domain-containing protein 1	CIBAR1 FAM92A FAM92A1	Homo sapiens (Human)	289
A1Z1Q3	reviewed	MACD2_HUMAN	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2, EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2, EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2, EC 3.2.2.-)	MACROD2 C20orf133	Homo sapiens (Human)	425
A2A288	reviewed	ZC12D_HUMAN	Probable ribonuclease ZC3H12D, EC 3.1.-.- (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)	ZC3H12D C6orf95 MCPIP4 TFL	Homo sapiens (Human)	527
A2A2Y4	reviewed	FRMD3_HUMAN	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1, 4.1O)	FRMD3 EPB41L4O	Homo sapiens (Human)	597
A2IDD5	reviewed	CCD78_HUMAN	Coiled-coil domain-containing protein 78 (hsCCDC78)	CCDC78 C16orf25 JFP10	Homo sapiens (Human)	438
A2PYH4	reviewed	HFM1_HUMAN	Probable ATP-dependent DNA helicase HFM1, EC 3.6.4.12 (SEC63 domain-containing protein 1)	HFM1 SEC3D1	Homo sapiens (Human)	1435
A2RRP1	reviewed	NBAS_HUMAN	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	NBAS NAG	Homo sapiens (Human)	2371
A2RTX5	reviewed	SYTC2_HUMAN	Threonine--tRNA ligase 2, cytoplasmic, EC 6.1.1.3 (Threonyl-tRNA synthetase, ThrRS) (Threonyl-tRNA synthetase protein 3)	TARS3 TARSL2	Homo sapiens (Human)	802
A2RU14	reviewed	TM218_HUMAN	Transmembrane protein 218	TMEM218	Homo sapiens (Human)	115
